date,es_index,count_docs
2021-03-07,wb_categories_in_brands,319610
2021-03-07,wb_brands_in_categories,555330
2021-03-08,wb_items_2,7333174
2021-03-08,wb_items_tmp,7336554
2021-03-08,wb_categories,13815
2021-03-08,wb_brands,56962
2021-03-08,wb_categories_in_brands,319752
2021-03-08,wb_brands_in_categories,556215
2021-03-09,wb_items_2,7333174
2021-03-09,wb_items_tmp,7339165
2021-03-09,wb_categories,13815
2021-03-09,wb_brands,56962
2021-03-09,wb_categories_in_brands,319885
2021-03-09,wb_brands_in_categories,556326
2021-03-10,wb_items_2,7334496
2021-03-10,wb_items_tmp,7340743
2021-03-10,wb_categories,13815
2021-03-10,wb_brands,56962
2021-03-10,wb_categories_in_brands,319922
2021-03-10,wb_brands_in_categories,556420
2021-03-11,wb_items_2,7341920
2021-03-11,wb_items_tmp,7342615
2021-03-11,wb_categories,13815
2021-03-11,wb_brands,93939
2021-03-11,wb_categories_in_brands,319974
2021-03-11,wb_brands_in_categories,556468
2021-03-12,wb_items_2,7341920
2021-03-12,wb_items_tmp,7344584
2021-03-12,wb_categories,13815
2021-03-12,wb_brands,93939
2021-03-12,wb_categories_in_brands,320013
2021-03-12,wb_brands_in_categories,556468
2021-03-13,wb_items_2,7341920
2021-03-13,wb_items_tmp,7347544
2021-03-13,wb_categories,13815
2021-03-13,wb_brands,93939
2021-03-13,wb_categories_in_brands,320095
2021-03-13,wb_brands_in_categories,556468
2021-03-14,wb_items_2,7341920
2021-03-14,wb_items_tmp,7367605
2021-03-14,wb_categories,13815
2021-03-14,wb_brands,93939
2021-03-14,wb_categories_in_brands,320095
2021-03-14,wb_brands_in_categories,556995
2021-03-15,wb_items_2,7341920
2021-03-15,wb_items_tmp,7369272
2021-03-15,wb_categories,13815
2021-03-15,wb_brands,93939
2021-03-15,wb_categories_in_brands,320095
2021-03-15,wb_brands_in_categories,557406
2021-03-16,wb_items_2,7341920
2021-03-16,wb_items_tmp,7373011
2021-03-16,wb_categories,13815
2021-03-16,wb_brands,93939
2021-03-16,wb_categories_in_brands,320095
2021-03-16,wb_brands_in_categories,557422
2021-03-17,wb_items_2,7344155
2021-03-17,wb_items_tmp,7377042
2021-03-17,wb_categories,13815
2021-03-17,wb_brands,93939
2021-03-17,wb_categories_in_brands,320095
2021-03-17,wb_brands_in_categories,557583
2021-03-18,wb_items_2,7376367
2021-03-18,wb_items_tmp,7379352
2021-03-18,wb_categories,13815
2021-03-18,wb_brands,93939
2021-03-18,wb_categories_in_brands,320095
2021-03-18,wb_brands_in_categories,557619
2021-03-19,wb_items_2,7381179
2021-03-19,wb_items_tmp,7383294
2021-03-19,wb_categories,13815
2021-03-19,wb_brands,93939
2021-03-19,wb_categories_in_brands,320095
2021-03-19,wb_brands_in_categories,559908
2021-03-20,wb_items_2,7381179
2021-03-20,wb_items_tmp,7395984
2021-03-20,wb_categories,13815
2021-03-20,wb_brands,93939
2021-03-20,wb_categories_in_brands,320095
2021-03-20,wb_brands_in_categories,560441
2021-03-21,wb_items_2,7381179
2021-03-21,wb_items_tmp,7398824
2021-03-21,wb_categories,13815
2021-03-21,wb_brands,93939
2021-03-21,wb_categories_in_brands,320095
2021-03-21,wb_brands_in_categories,560625
2021-03-22,wb_items_2,7381179
2021-03-22,wb_items_tmp,7405735
2021-03-22,wb_categories,13815
2021-03-22,wb_brands,93939
2021-03-22,wb_categories_in_brands,320095
2021-03-22,wb_brands_in_categories,560719
